date,bank_rate_monthly_avg,bank_rate_end_month,gilt_yield
1990-06-30,14.875,14.875,11.0110925202608
1990-07-31,14.875,14.875,11.1597651075411
1990-08-31,14.875,14.875,11.5079252383656
1990-09-30,14.875,14.875,11.5759263005039
1990-10-31,14.0924,13.875,11.1051872087207
1990-11-30,13.875,13.875,10.5543954863322
1990-12-31,13.875,13.875,10.6048507431701
1991-01-31,13.875,13.875,9.87631190337617
1991-02-28,13.525,12.875,9.96304517725603
1991-03-31,12.75,12.375,9.91748319848658
1991-04-30,12.0655,11.875,10.0369857996379
1991-05-31,11.756,11.375,10.2371273194812
1991-06-30,11.375,11.375,10.2705073992304
1991-07-31,11.0707,10.875,9.91320180569045
1991-08-31,10.875,10.875,9.69996564375657
1991-09-30,10.4226,10.375,9.37882776222237
1991-10-31,10.375,10.375,9.46456729710163
1991-11-30,10.375,10.375,9.6094083633876
1991-12-31,10.375,10.375,9.44361647614335
1992-01-31,10.375,10.375,9.16228612523708
1992-02-29,10.375,10.375,9.04436661953709
1992-03-31,10.375,10.375,9.55351091989606
1992-04-30,10.375,10.375,8.93767423301057
1992-05-31,9.9013,9.875,8.68637046778405
1992-06-30,9.875,9.875,8.89456998993399
1992-07-31,9.875,9.875,9.00577300001058
1992-08-31,9.875,9.875,9.3149948184204
1992-09-30,9.5568,8.875,8.96790331763294
1992-10-31,8.375,7.875,8.28159650437068
1992-11-30,7.3036,6.875,8.65726234453342
1992-12-31,6.875,6.875,8.32483048872797
1993-01-31,6.675,5.875,8.37518132977716
1993-02-28,5.875,5.875,8.09055223909328
1993-03-31,5.875,5.875,7.98023418898811
1993-04-30,5.875,5.875,8.32933672346333
1993-05-31,5.875,5.875,8.36457612208811
1993-06-30,5.875,5.875,7.86286629120396
1993-07-31,5.875,5.875,7.57779484991291
1993-08-31,5.875,5.875,6.99432550524471
1993-09-30,5.875,5.875,7.09295634261142
1993-10-31,5.875,5.875,7.04779117248057
1993-11-30,5.7386,5.375,6.7880656776551
1993-12-31,5.375,5.375,6.24929461540271
1994-01-31,5.375,5.375,6.3694162858729
1994-02-28,5.1875,5.125,7.06355573216553
1994-03-31,5.125,5.125,7.6046835658375
1994-04-30,5.125,5.125,7.94191535925872
1994-05-31,5.125,5.125,8.63640005614915
1994-06-30,5.125,5.125,8.73116580198516
1994-07-31,5.125,5.125,8.55094695632266
1994-08-31,5.125,5.125,8.49481194919546
1994-09-30,5.4659,5.625,8.74203816572845
1994-10-31,5.625,5.625,8.65383245155951
1994-11-30,5.625,5.625,8.36134140129049
1994-12-31,6.025,6.125,8.58914434765906
1995-01-31,6.125,6.125,8.46861109625678
1995-02-28,6.6,6.625,8.53583957030086
1995-03-31,6.625,6.625,8.41251771494606
1995-04-30,6.625,6.625,8.35392866994286
1995-05-31,6.625,6.625,7.87656203045255
1995-06-30,6.625,6.625,8.40227921887798
1995-07-31,6.625,6.625,8.17499638910448
1995-08-31,6.625,6.625,8.07860125738157
1995-09-30,6.625,6.625,8.13789471825702
